City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Adelanto,"33,005",212,2,14,,48,148,808,434,254,120,24
Agoura Hills,"20,970",15,0,1,,6,8,310,82,217,11,0
Alameda,"78,613",148,2,7,,61,78,"1,819",228,"1,245",346,18
Albany,"19,723",34,1,6,,16,11,605,95,447,63,0
Alhambra3,"86,175",168,1,13,,74,80,"1,929",305,"1,413",211,6
Aliso Viejo,"50,751",32,0,5,,3,24,363,53,276,34,1
Alturas3,"2,566",35,0,13,,2,20,61,9,48,4,4
American Canyon3,"20,687",58,1,7,,21,29,634,97,493,44,2
Anaheim3,"349,471","1,271",18,129,,439,685,"10,038","1,476","6,893","1,669",28
Anderson,"10,277",88,0,4,,9,75,474,60,358,56,2
Antioch,"110,537",771,7,53,,280,431,"3,912",862,"2,026","1,024",36
Apple Valley,"72,173",234,1,15,,50,168,"1,878",427,"1,187",264,14
Arcadia,"58,694",68,1,6,,31,30,"1,272",316,892,64,3
Arcata3,"17,789",54,2,7,,11,34,670,160,443,67,18
Arroyo Grande3,"18,071",35,0,2,,6,27,418,83,299,36,0
Artesia,"16,988",84,0,2,,30,52,468,99,258,111,3
Arvin,"20,902",149,3,1,,14,131,457,143,201,113,16
Atascadero3,"29,316",90,0,11,,15,64,475,119,323,33,5
Atherton,"7,205",3,0,1,,2,0,86,30,54,2,1
Atwater,"29,219",197,3,8,,26,160,"1,099",167,757,175,10
Auburn,"14,118",45,0,2,,7,36,260,56,178,26,0
Avalon,"3,820",12,0,2,,1,9,56,12,39,5,0
Avenal3,"12,859",25,2,1,,4,18,196,58,118,20,0
Azusa,"49,431",173,2,13,,49,109,"1,212",232,784,196,7
Bakersfield,"373,887","1,810",22,71,,655,"1,062","15,559","3,877","9,288","2,394",339
Baldwin Park3,"77,538",299,1,34,,77,187,"1,442",243,868,331,5
Banning,"31,030",197,8,29,,29,131,608,248,221,139,0
Barstow,"23,700",283,2,12,,70,199,"1,037",447,408,182,15
Bear Valley3,"5,428",5,1,1,,0,3,67,4,63,0,0
Beaumont,"43,626",138,1,17,,21,99,887,157,582,148,4
Bell,"36,395",221,1,17,,70,133,772,194,443,135,0
Bellflower,"78,635",373,1,21,,152,199,"1,825",452,816,557,13
Bell Gardens3,"43,411",137,0,6,,51,80,782,91,392,299,9
Belmont,"27,377",26,1,3,,5,17,447,65,341,41,2
Belvedere,"2,144",0,0,0,,0,0,29,3,25,1,0
Benicia,"28,159",29,0,7,,8,14,512,112,338,62,8
Berkeley,"120,387",530,1,44,,330,155,"5,906","1,090","4,099",717,22
Beverly Hills3,"35,054",99,1,9,,40,49,"1,236",234,930,72,4
Big Bear Lake,"5,209",54,0,5,,5,44,248,75,157,16,6
Biggs3,"1,712",24,0,1,,1,22,28,5,14,9,0
Bishop3,"3,833",38,0,2,,4,32,105,12,85,8,0
Blythe,"18,961",90,1,7,,22,60,847,293,529,25,23
Bradbury,"1,097",1,0,0,,0,1,10,6,3,1,0
Brawley3,"26,023",146,1,8,,14,123,958,260,654,44,18
Brea3,"42,043",80,0,2,,31,47,"1,257",153,"1,035",69,2
Brentwood,"58,398",110,0,17,,43,50,"1,288",158,985,145,7
Brisbane,"4,696",9,0,1,,1,7,92,36,49,7,0
Broadmoor,"4,382",16,0,0,,6,10,80,35,29,16,0
Buellton3,"5,097",4,0,1,,1,2,54,15,39,0,0
Buena Park3,"83,684",237,1,19,,67,150,"2,549",332,"1,831",386,5
Burbank,"105,865",159,1,10,,50,98,"2,656",297,"2,136",223,13
Burlingame,"30,672",45,1,6,,11,27,948,192,626,130,2
Calabasas,"24,505",15,0,5,,9,1,272,57,201,14,2
Calexico3,"40,085",169,0,2,,41,126,"1,567",367,911,289,21
California City,"13,218",121,0,5,,20,96,516,270,218,28,1
Calimesa,"8,553",17,0,0,,5,12,291,71,186,34,0
Calistoga,"5,338",11,1,2,,1,7,81,10,64,7,1
Camarillo,"67,325",114,2,16,,30,66,"1,116",217,840,59,17
Campbell,"41,544",88,1,11,,30,46,"1,393",247,"1,004",142,14
Canyon Lake,"11,112",7,0,0,,1,6,93,18,59,16,0
Capitola,"10,201",28,0,2,,12,14,658,41,585,32,1
Carlsbad,"113,972",172,0,33,,38,101,"2,134",366,"1,627",141,8
Carmel,"3,913",10,0,2,,0,8,114,28,79,7,0
Carpinteria,"13,829",11,0,0,,2,9,206,45,147,14,3
Carson,"93,677",433,7,14,,115,297,"2,146",469,"1,282",395,10
Cathedral City,"53,947",117,3,13,,49,52,"1,152",327,505,320,4
Central Marin,"35,272",40,0,8,,10,22,757,282,417,58,0
Ceres,"47,693",122,0,10,,55,57,"1,606",232,920,454,4
Cerritos,"50,238",91,0,7,,46,38,"1,899",354,"1,324",221,1
Chico3,"89,949",317,2,59,,87,169,"3,634",642,"2,591",401,191
Chino,"86,344",221,0,21,,53,147,"2,138",375,"1,501",262,9
Chino Hills,"77,515",70,0,7,,23,40,"1,073",216,761,96,1
Chowchilla,"18,978",74,0,2,,4,68,329,91,197,41,7
Chula Vista,"265,215",705,6,63,,239,397,"4,619",710,"3,093",816,27
Citrus Heights,"86,853",385,4,36,,113,232,"2,586",375,"1,942",269,6
City of Angels3,"3,738",17,0,1,,1,15,57,9,37,11,0
Claremont3,"36,331",64,1,12,,15,36,985,249,674,62,1
Clayton,"11,879",11,0,0,,2,9,150,26,105,19,1
Clearlake3,"15,044",117,5,6,,27,79,614,223,302,89,6
Cloverdale,"8,839",15,0,2,,5,8,119,22,87,10,0
Clovis,"103,769",239,1,26,,70,142,"3,083",420,"2,454",209,5
Coachella,"44,953",153,3,3,,51,96,"1,238",200,802,236,6
Coalinga,"16,073",105,0,9,,5,91,316,85,204,27,11
Colma3,"1,531",12,0,1,,3,8,275,41,208,26,0
Colton,"54,503",185,3,11,,77,94,"1,715",361,889,465,3
Colusa3,"5,937",6,0,2,,2,2,127,43,71,13,0
Commerce,"13,137",93,2,10,,28,53,"1,247",100,798,349,8
Compton,"99,125",988,13,33,,332,610,"2,410",496,"1,147",767,53
Concord,"128,767",491,4,29,,182,276,"4,618",594,"3,068",956,8
Corcoran3,"22,435",104,0,4,,13,87,398,107,212,79,5
Corning,"7,527",44,0,2,,5,37,254,74,155,25,6
Corona,"163,633",212,5,30,,98,79,"3,727",615,"2,646",466,13
Coronado,"25,138",26,0,5,,1,20,379,55,307,17,3
Costa Mesa3,"113,477",386,1,53,,122,210,"4,723",698,"3,558",467,18
Cotati,"7,469",32,0,10,,1,21,108,32,61,15,1
Covina3,"49,300",108,1,8,,33,66,"1,129",238,753,138,8
Crescent City3,"6,599",41,0,5,,1,35,152,50,90,12,1
Cudahy,"24,410",78,1,6,,22,49,307,48,177,82,0
Culver City,"39,890",156,0,4,,78,74,"1,919",214,"1,598",107,0
Cupertino,"61,162",63,0,8,,27,28,935,293,583,59,7
Cypress3,"49,560",56,0,3,,23,30,889,146,646,97,4
Daly City,"107,320",234,0,26,,89,119,"1,778",320,"1,200",258,8
Dana Point,"34,312",57,0,9,,12,36,589,120,417,52,1
Danville,"44,401",16,1,2,,6,7,490,114,350,26,2
Davis,"67,034",95,2,16,,40,37,"1,718",281,"1,332",105,9
Delano,"52,534",219,4,9,,52,154,"1,376",267,748,361,26
Del Mar,"4,346",10,0,2,,0,8,176,47,122,7,1
Del Rey Oaks,"1,696",5,0,2,,0,3,35,7,26,2,0
Desert Hot Springs,"28,416",232,7,16,,62,147,"1,110",459,311,340,9
Diamond Bar,"57,085",58,1,4,,28,25,804,280,427,97,3
Dinuba3,"24,223",175,1,5,,13,156,816,163,536,117,7
Dixon,"19,357",54,1,5,,14,34,458,77,340,41,0
Dorris3,894,5,0,1,,0,4,27,6,18,3,0
Dos Palos,"5,112",50,1,7,,3,39,131,51,64,16,0
Downey3,"114,754",335,7,23,,173,132,"2,892",514,"1,586",792,17
Duarte,"22,171",72,0,3,,19,50,367,68,233,66,0
Dublin,"57,148",68,0,5,,17,46,997,115,758,124,1
Dunsmuir3,"1,557",2,0,1,,0,1,23,9,10,4,0
East Palo Alto3,"29,864",181,4,20,,81,76,652,126,394,132,9
Eastvale,"57,808",40,0,3,,13,24,904,92,702,110,1
El Cajon,"103,942",360,2,50,,107,201,"2,267",387,"1,517",363,15
El Centro3,"44,033",164,1,10,,56,97,"2,667",493,"1,983",191,11
El Cerrito,"24,842",97,1,2,,68,26,"1,231",211,899,121,2
Elk Grove,"166,183",586,1,33,,105,447,"3,120",589,"2,294",237,4
El Monte3,"117,376",400,8,21,,143,228,"2,132",461,991,680,29
El Segundo3,"17,164",41,1,1,,22,17,621,147,426,48,2
Emeryville3,"11,549",153,1,3,,74,75,"1,997",120,"1,729",148,1
Encinitas,"62,909",126,0,13,,27,86,986,186,712,88,3
Escalon,"7,449",11,0,0,,1,10,167,37,117,13,0
Escondido,"151,732",529,7,48,,176,298,"3,393",479,"2,308",606,15
Etna3,705,1,0,0,,0,1,4,0,3,1,0
Eureka3,"26,858",166,3,23,,58,82,"1,801",335,"1,272",194,30
Exeter3,"10,611",26,0,1,,7,18,349,118,197,34,7
Fairfax,"7,686",13,0,6,,1,6,104,19,79,6,1
Fairfield,"112,582",486,8,46,,167,265,"3,429",456,"2,406",567,30
Farmersville,"10,835",32,0,1,,10,21,162,41,99,22,0
Ferndale3,"1,362",1,0,0,,0,1,12,4,7,1,0
Fillmore,"15,519",82,1,10,,6,65,142,40,80,22,5
Firebaugh,"8,484",53,0,15,,1,37,97,23,64,10,1
Folsom,"76,183",71,1,15,,15,40,"1,185",210,899,76,6
Fontana,"206,982",804,3,46,,213,542,"4,269",764,"2,474","1,031",12
Fort Bragg,"7,310",33,0,3,,4,26,257,30,210,17,3
Fort Jones3,680,2,0,1,,0,1,11,6,5,0,0
Fortuna3,"11,876",36,0,4,,5,27,571,89,445,37,5
Foster City3,"33,313",20,1,1,,2,16,302,80,197,25,0
Fountain Valley3,"57,392",66,1,2,,24,39,"1,517",268,"1,120",129,1
Fowler,"6,144",46,0,2,,10,34,135,46,59,30,4
Fremont,"232,427",337,2,49,,151,135,"4,371",913,"2,755",703,14
Fresno,"520,837","2,871",39,167,,"1,012","1,653","21,606","4,429","14,184","2,993",255
Fullerton3,"140,771",389,0,66,,110,213,"3,893",468,"2,958",467,15
Galt,"25,106",70,1,13,,11,45,606,94,461,51,5
Gardena3,"60,782",301,6,24,,149,122,"1,519",319,841,359,9
Garden Grove3,"176,041",504,4,41,,155,304,"4,433",885,"2,899",649,25
Gilroy,"53,467",192,2,31,,48,111,"1,777",262,"1,228",287,16
Glendale3,"202,298",195,5,17,,75,98,"3,513",530,"2,630",353,6
Glendora3,"51,753",55,0,6,,25,24,"1,336",183,"1,093",60,4
Goleta,"31,011",47,0,9,,12,26,449,110,305,34,2
Gonzales,"8,507",39,0,2,,4,33,121,32,56,33,0
Grand Terrace,"12,502",27,1,1,,13,12,276,74,150,52,2
Grass Valley,"12,883",115,0,3,,9,103,667,123,484,60,5
Greenfield,"17,061",101,2,3,,26,70,324,88,144,92,5
Gridley3,"6,580",113,0,9,,2,102,196,54,124,18,2
Grover Beach3,"13,589",33,0,4,,7,22,345,67,242,36,2
Guadalupe,"7,318",9,0,1,,1,7,100,26,63,11,0
Gustine,"5,726",25,0,1,,1,23,142,52,70,20,0
Hanford3,"55,299",315,1,23,,58,233,"2,012",275,"1,504",233,5
Hawaiian Gardens,"14,629",86,2,2,,24,58,318,66,191,61,3
Hawthorne3,"88,410",628,6,35,,246,341,"2,482",479,"1,468",535,8
Hayward,"157,157",556,10,71,,298,177,"4,483",729,"2,366","1,388",30
Healdsburg3,"11,744",16,0,4,,0,12,239,37,190,12,0
Hemet,"84,030",605,10,33,,174,388,"3,768",908,"2,306",554,10
Hercules,"25,326",31,1,1,,12,17,392,113,214,65,0
Hermosa Beach3,"19,986",44,0,7,,12,25,585,121,423,41,0
Hesperia,"93,348",302,3,18,,83,198,"2,227",574,"1,275",378,17
Hidden Hills,"1,935",1,0,0,,0,1,8,1,6,1,0
Highland,"55,011",202,2,20,,58,122,"1,242",407,534,301,20
Hillsborough,"11,559",1,0,1,,0,0,126,64,55,7,0
Hollister,"37,604",137,0,16,,19,102,530,117,316,97,4
Holtville3,"6,376",15,0,0,,2,13,100,26,72,2,0
Hughson3,"7,377",13,0,0,,1,12,154,39,79,36,3
Huntington Beach,"203,233",420,0,52,,117,251,"4,942",723,"3,846",373,23
Huntington Park,"59,668",386,1,35,,177,173,"2,027",176,"1,055",796,14
Huron,"6,818",38,1,1,,9,27,75,14,40,21,5
Imperial3,"17,338",5,0,1,,0,4,54,2,47,5,0
Imperial Beach,"27,341",88,0,5,,16,67,359,76,214,69,1
Indian Wells,"5,279",5,0,0,,0,5,150,33,105,12,0
Indio,"87,195",585,5,28,,128,424,"2,112",454,"1,187",471,4
Industry,206,68,0,1,,29,38,"1,050",154,718,178,4
Inglewood3,"112,450",775,7,44,,358,366,"2,612",523,"1,406",683,12
Ione,"6,804",7,0,1,,0,6,50,9,36,5,0
Irvine3,"258,198",144,2,27,,57,58,"3,868",523,"3,144",201,8
Irwindale3,"1,433",27,1,0,,8,18,166,38,109,19,2
Isleton,834,4,0,0,,1,3,26,13,13,0,0
Jackson3,"4,593",15,0,0,,1,14,134,46,79,9,1
Jurupa Valley,"99,706",260,6,5,,91,158,"2,860",443,"1,579",838,15
Kensington,"5,329",1,0,0,,0,1,86,21,52,13,0
Kerman,"14,595",33,0,0,,6,27,394,68,296,30,0
King City,"13,755",61,2,8,,8,43,213,48,110,55,2
Kingsburg,"11,813",28,0,2,,8,18,340,97,165,78,0
La Canada Flintridge,"20,763",20,1,7,,6,6,287,106,169,12,0
Lafayette,"25,886",14,0,2,,5,7,523,49,433,41,0
Laguna Beach3,"23,485",76,0,8,,12,56,558,78,420,60,3
Laguna Hills,"31,139",43,0,8,,13,22,522,80,396,46,1
Laguna Niguel,"66,035",49,2,6,,12,29,691,113,529,49,1
Laguna Woods3,"16,501",5,0,0,,2,3,141,17,117,7,0
La Habra3,"62,488",104,0,7,,37,60,"1,279",189,928,162,3
La Habra Heights,"5,500",2,0,1,,0,1,55,20,32,3,0
Lake Elsinore,"61,871",137,0,8,,49,80,"1,909",253,"1,352",304,2
Lake Forest,"80,798",109,0,15,,23,71,908,134,684,90,2
Lakeport,"4,781",29,0,3,,9,17,238,39,179,20,0
Lake Shastina3,"2,529",1,0,0,,0,1,9,0,8,1,1
Lakewood,"82,047",222,3,15,,93,111,"2,198",378,"1,515",305,4
La Mesa,"59,676",196,3,15,,63,115,"1,740",276,"1,234",230,4
La Mirada,"49,685",74,0,9,,22,43,857,158,576,123,2
Lancaster,"162,095","1,005",7,82,,326,590,"3,818","1,342","1,982",494,70
La Palma3,"16,001",13,0,0,,7,6,304,113,170,21,0
La Puente,"40,958",119,0,7,,35,77,483,91,265,127,1
La Quinta,"40,554",80,1,6,,24,49,"1,220",181,972,67,4
La Verne3,"32,595",68,0,29,,18,21,928,187,693,48,11
Lawndale,"33,605",196,0,9,,62,125,502,114,284,104,2
Lemon Grove,"26,798",161,0,12,,53,96,494,51,351,92,2
Lemoore3,"25,348",118,0,17,,19,82,700,160,440,100,12
Lincoln,"46,663",28,0,6,,10,12,646,127,455,64,1
Lindsay3,"13,579",59,1,4,,14,40,280,63,146,71,5
